,0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1325)	1.0
  (0, 1397)	1.0"
1123,"  (0, 814)	1.0
  (0, 979)	1.0
  (0, 1219)	1.0
  (0, 1263)	1.0
  (0, 1344)	1.0
  (0, 1397)	1.0"
1124,"  (0, 112)	1.0
  (0, 229)	1.0
  (0, 283)	1.0
  (0, 298)	1.0
  (0, 439)	1.0
  (0, 647)	1.0
  (0, 729)	1.0
  (0, 794)	1.0
  (0, 812)	1.0
  (0, 918)	1.0
  (0, 926)	1.0
  (0, 1192)	1.0
  (0, 1207)	1.0
  (0, 1230)	1.0
  (0, 1266)	1.0
  (0, 1424)	1.0"
1125,"  (0, 64)	1.0
  (0, 130)	1.0
  (0, 1254)	1.0
  (0, 1263)	1.0
  (0, 1412)	1.0
  (0, 1414)	1.0"
1126,"  (0, 52)	1.0
  (0, 99)	1.0
  (0, 129)	1.0
  (0, 261)	1.0
  (0, 283)	1.0
  (0, 339)	1.0
  (0, 341)	1.0
  (0, 507)	1.0
  (0, 509)	1.0
  (0, 521)	1.0
  (0, 758)	1.0
  (0, 816)	1.0
  (0, 820)	1.0
  (0, 974)	1.0
  (0, 1014)	1.0
  (0, 1091)	1.0
  (0, 1292)	1.0"
1127,"  (0, 18)	1.0
  (0, 19)	1.0
  (0, 38)	1.0
  (0, 39)	1.0
  (0, 130)	1.0
  (0, 299)	1.0
  (0, 368)	1.0
  (0, 393)	1.0
  (0, 429)	1.0
  (0, 525)	1.0
  (0, 621)	1.0
  (0, 625)	1.0
  (0, 780)	1.0
  (0, 782)	1.0
  (0, 1075)	1.0
  (0, 1088)	1.0
  (0, 1118)	1.0
  (0, 1131)	1.0
  (0, 1149)	1.0
  (0, 1209)	1.0
  (0, 1290)	1.0
  (0, 1356)	1.0
  (0, 1381)	1.0
  (0, 1421)	1.0"
1128,"  (0, 19)	1.0
  (0, 52)	1.0
  (0, 378)	1.0
  (0, 464)	1.0
  (0, 472)	1.0
  (0, 509)	1.0
  (0, 521)	1.0
  (0, 587)	1.0
  (0, 714)	1.0
  (0, 774)	1.0
  (0, 801)	1.0
  (0, 917)	1.0
  (0, 1040)	1.0
  (0, 1070)	1.0
  (0, 1267)	1.0
  (0, 1351)	1.0
  (0, 1356)	1.0"
1129,"  (0, 2)	1.0
  (0, 38)	1.0
  (0, 39)	1.0
  (0, 88)	1.0
  (0, 340)	1.0
  (0, 406)	1.0
  (0, 459)	1.0
  (0, 469)	1.0
  (0, 510)	1.0
  (0, 593)	1.0
  (0, 621)	1.0
  (0, 624)	1.0
  (0, 668)	1.0
  (0, 677)	1.0
  (0, 697)	1.0
  (0, 718)	1.0
  (0, 1177)	1.0
  (0, 1187)	1.0
  (0, 1209)	1.0"
1130,"  (0, 58)	1.0
  (0, 132)	1.0
  (0, 203)	1.0
  (0, 322)	1.0
  (0, 336)	1.0
  (0, 360)	1.0
  (0, 508)	1.0
  (0, 546)	1.0
  (0, 675)	1.0
  (0, 695)	1.0
  (0, 732)	1.0
  (0, 758)	1.0
  (0, 776)	1.0
  (0, 828)	1.0
  (0, 1034)	1.0
  (0, 1073)	1.0
  (0, 1081)	1.0
  (0, 1097)	1.0
  (0, 1177)	1.0
  (0, 1204)	1.0
  (0, 1212)	1.0
  (0, 1257)	1.0
  (0, 1328)	1.0"
1131,"  (0, 16)	1.0
  (0, 125)	1.0
  (0, 128)	1.0
  (0, 135)	1.0
  (0, 474)	1.0
  (0, 540)	1.0
  (0, 546)	1.0
  (0, 724)	1.0
  (0, 729)	1.0
  (0, 812)	1.0
  (0, 822)	1.0
  (0, 915)	1.0
  (0, 1054)	1.0
  (0, 1071)	1.0
  (0, 1170)	1.0
  (0, 1175)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1295)	1.0
  (0, 1352)	1.0
  (0, 1384)	1.0"
1132,"  (0, 51)	1.0
  (0, 97)	1.0
  (0, 292)	1.0
  (0, 301)	1.0
  (0, 644)	1.0
  (0, 758)	1.0
  (0, 762)	1.0
  (0, 935)	1.0
  (0, 1075)	1.0
  (0, 1081)	1.0
  (0, 1209)	1.0
  (0, 1230)	1.0
  (0, 1234)	1.0
  (0, 1253)	1.0
  (0, 1292)	1.0
  (0, 1332)	1.0
  (0, 1429)	1.0"
1133,"  (0, 14)	1.0
  (0, 52)	1.0
  (0, 125)	1.0
  (0, 284)	1.0
  (0, 434)	1.0
  (0, 507)	1.0
  (0, 648)	1.0
  (0, 729)	1.0
  (0, 765)	1.0
  (0, 821)	1.0
  (0, 915)	1.0
  (0, 1062)	1.0
  (0, 1195)	1.0
  (0, 1198)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1352)	1.0
  (0, 1353)	1.0
  (0, 1381)	1.0"
1134,"  (0, 27)	1.0
  (0, 502)	1.0
  (0, 605)	1.0
  (0, 623)	1.0
  (0, 758)	1.0
  (0, 860)	1.0
  (0, 895)	1.0
  (0, 911)	1.0
  (0, 1098)	1.0
  (0, 1123)	1.0
  (0, 1138)	1.0
  (0, 1144)	1.0
  (0, 1149)	1.0
  (0, 1174)	1.0
  (0, 1177)	1.0
  (0, 1233)	1.0
  (0, 1262)	1.0
  (0, 1330)	1.0
  (0, 1352)	1.0"
1135,"  (0, 12)	1.0
  (0, 16)	1.0
  (0, 203)	1.0
  (0, 507)	1.0
  (0, 540)	1.0
  (0, 586)	1.0
  (0, 693)	1.0
  (0, 699)	1.0
  (0, 724)	1.0
  (0, 729)	1.0
  (0, 808)	1.0
  (0, 860)	1.0
  (0, 877)	1.0
  (0, 1020)	1.0
  (0, 1093)	1.0
  (0, 1209)	1.0
  (0, 1230)	1.0
  (0, 1242)	1.0
  (0, 1302)	1.0
  (0, 1393)	1.0
  (0, 1418)	1.0"
1136,"  (0, 261)	1.0
  (0, 413)	1.0
  (0, 485)	1.0
  (0, 509)	1.0
  (0, 696)	1.0
  (0, 735)	1.0
  (0, 948)	1.0
  (0, 1124)	1.0
  (0, 1144)	1.0
  (0, 1202)	1.0
  (0, 1224)	1.0
  (0, 1277)	1.0
  (0, 1291)	1.0
  (0, 1352)	1.0
  (0, 1389)	1.0
  (0, 1404)	1.0"
1137,"  (0, 187)	1.0
  (0, 224)	1.0
  (0, 235)	1.0
  (0, 409)	1.0
  (0, 505)	1.0
  (0, 525)	1.0
  (0, 610)	1.0
  (0, 619)	1.0
  (0, 978)	1.0
  (0, 994)	1.0
  (0, 1075)	1.0
  (0, 1114)	1.0
  (0, 1149)	1.0
  (0, 1151)	1.0
  (0, 1171)	1.0
  (0, 1192)	1.0
  (0, 1209)	1.0
  (0, 1260)	1.0
  (0, 1262)	1.0
  (0, 1306)	1.0
  (0, 1353)	1.0
  (0, 1355)	1.0
  (0, 1381)	1.0
  (0, 1426)	1.0"
1138,"  (0, 19)	1.0
  (0, 61)	1.0
  (0, 125)	1.0
  (0, 130)	1.0
  (0, 425)	1.0
  (0, 480)	1.0
  (0, 507)	1.0
  (0, 546)	1.0
  (0, 592)	1.0
  (0, 724)	1.0
  (0, 969)	1.0
  (0, 1054)	1.0
  (0, 1137)	1.0
  (0, 1140)	1.0
  (0, 1141)	1.0
  (0, 1203)	1.0
  (0, 1253)	1.0
  (0, 1328)	1.0
  (0, 1352)	1.0
  (0, 1360)	1.0
  (0, 1381)	1.0"
1139,"  (0, 8)	1.0
  (0, 89)	1.0
  (0, 99)	1.0
  (0, 132)	1.0
  (0, 203)	1.0
  (0, 505)	1.0
  (0, 533)	1.0
  (0, 536)	1.0
  (0, 670)	1.0
  (0, 721)	1.0
  (0, 780)	1.0
  (0, 813)	1.0
  (0, 860)	1.0
  (0, 924)	1.0
  (0, 929)	1.0
  (0, 1058)	1.0
  (0, 1078)	1.0
  (0, 1149)	1.0
  (0, 1151)	1.0
  (0, 1166)	1.0
  (0, 1328)	1.0
  (0, 1371)	1.0
  (0, 1381)	1.0
  (0, 1393)	1.0"
1140,"  (0, 4)	1.0
  (0, 40)	1.0
  (0, 233)	1.0
  (0, 384)	1.0
  (0, 398)	1.0
  (0, 612)	1.0
  (0, 726)	1.0
  (0, 750)	1.0
  (0, 777)	1.0
  (0, 819)	1.0
  (0, 859)	1.0
  (0, 871)	1.0
  (0, 1075)	1.0
  (0, 1127)	1.0
  (0, 1149)	1.0
  (0, 1257)	1.0
  (0, 1263)	1.0
  (0, 1312)	1.0
  (0, 1353)	1.0
  (0, 1359)	1.0"
1141,"  (0, 395)	1.0
  (0, 540)	1.0
  (0, 564)	1.0
  (0, 676)	1.0
  (0, 756)	1.0
  (0, 763)	1.0
  (0, 777)	1.0
  (0, 814)	1.0
  (0, 848)	1.0
  (0, 1076)	1.0
  (0, 1131)	1.0
  (0, 1149)	1.0
  (0, 1177)	1.0
  (0, 1179)	1.0
  (0, 1263)	1.0
  (0, 1305)	1.0
  (0, 1306)	1.0
  (0, 1345)	1.0
  (0, 1381)	1.0"
1142,"  (0, 63)	1.0
  (0, 81)	1.0
  (0, 118)	1.0
  (0, 299)	1.0
  (0, 455)	1.0
  (0, 464)	1.0
  (0, 495)	1.0
  (0, 532)	1.0
  (0, 652)	1.0
  (0, 715)	1.0
  (0, 860)	1.0
  (0, 882)	1.0
  (0, 937)	1.0
  (0, 1132)	1.0
  (0, 1144)	1.0
  (0, 1158)	1.0
  (0, 1295)	1.0
  (0, 1339)	1.0"
1143,"  (0, 128)	1.0
  (0, 132)	1.0
  (0, 139)	1.0
  (0, 238)	1.0
  (0, 261)	1.0
  (0, 262)	1.0
  (0, 380)	1.0
  (0, 470)	1.0
  (0, 707)	1.0
  (0, 715)	1.0
  (0, 725)	1.0
  (0, 729)	1.0
  (0, 813)	1.0
  (0, 967)	1.0
  (0, 969)	1.0
  (0, 1177)	1.0
  (0, 1263)	1.0
  (0, 1305)	1.0
  (0, 1381)	1.0"
1144,"  (0, 61)	1.0
  (0, 284)	1.0
  (0, 446)	1.0
  (0, 507)	1.0
  (0, 523)	1.0
  (0, 582)	1.0
  (0, 729)	1.0
  (0, 812)	1.0
  (0, 954)	1.0
  (0, 1061)	1.0
  (0, 1066)	1.0
  (0, 1131)	1.0
  (0, 1141)	1.0
  (0, 1177)	1.0
  (0, 1230)	1.0
  (0, 1401)	1.0"
1145,"  (0, 26)	1.0
  (0, 76)	1.0
  (0, 88)	1.0
  (0, 183)	1.0
  (0, 238)	1.0
  (0, 333)	1.0
  (0, 485)	1.0
  (0, 509)	1.0
  (0, 562)	1.0
  (0, 666)	1.0
  (0, 770)	1.0
  (0, 816)	1.0
  (0, 840)	1.0
  (0, 1132)	1.0
  (0, 1138)	1.0
  (0, 1144)	1.0
  (0, 1155)	1.0
  (0, 1206)	1.0
  (0, 1271)	1.0
  (0, 1330)	1.0
  (0, 1352)	1.0
  (0, 1381)	1.0"
1146,"  (0, 378)	1.0
  (0, 464)	1.0
  (0, 505)	1.0
  (0, 581)	1.0
  (0, 624)	1.0
  (0, 648)	1.0
  (0, 773)	1.0
  (0, 874)	1.0
  (0, 1015)	1.0
  (0, 1071)	1.0
  (0, 1079)	1.0
  (0, 1177)	1.0
  (0, 1205)	1.0
  (0, 1209)	1.0
  (0, 1255)	1.0
  (0, 1263)	1.0
  (0, 1317)	1.0
  (0, 1330)	1.0
  (0, 1352)	1.0
  (0, 1431)	1.0"
1147,"  (0, 4)	1.0
  (0, 61)	1.0
  (0, 89)	1.0
  (0, 92)	1.0
  (0, 132)	1.0
  (0, 507)	1.0
  (0, 615)	1.0
  (0, 681)	1.0
  (0, 703)	1.0
  (0, 750)	1.0
  (0, 754)	1.0
  (0, 764)	1.0
  (0, 816)	1.0
  (0, 969)	1.0
  (0, 971)	1.0
  (0, 1075)	1.0
  (0, 1114)	1.0
  (0, 1138)	1.0
  (0, 1143)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1215)	1.0
  (0, 1331)	1.0
  (0, 1345)	1.0"
1148,"  (0, 6)	1.0
  (0, 19)	1.0
  (0, 41)	1.0
  (0, 140)	1.0
  (0, 192)	1.0
  (0, 395)	1.0
  (0, 495)	1.0
  (0, 502)	1.0
  (0, 507)	1.0
  (0, 525)	1.0
  (0, 544)	1.0
  (0, 621)	1.0
  (0, 666)	1.0
  (0, 763)	1.0
  (0, 774)	1.0
  (0, 843)	1.0
  (0, 986)	1.0
  (0, 988)	1.0
  (0, 1077)	1.0
  (0, 1132)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1415)	1.0"
1149,"  (0, 58)	1.0
  (0, 131)	1.0
  (0, 185)	1.0
  (0, 278)	1.0
  (0, 379)	1.0
  (0, 448)	1.0
  (0, 507)	1.0
  (0, 509)	1.0
  (0, 597)	1.0
  (0, 647)	1.0
  (0, 648)	1.0
  (0, 758)	1.0
  (0, 821)	1.0
  (0, 932)	1.0
  (0, 983)	1.0
  (0, 1011)	1.0
  (0, 1097)	1.0
  (0, 1198)	1.0
  (0, 1304)	1.0
  (0, 1348)	1.0"
1150,"  (0, 19)	1.0
  (0, 51)	1.0
  (0, 99)	1.0
  (0, 129)	1.0
  (0, 130)	1.0
  (0, 274)	1.0
  (0, 322)	1.0
  (0, 507)	1.0
  (0, 644)	1.0
  (0, 701)	1.0
  (0, 702)	1.0
  (0, 743)	1.0
  (0, 778)	1.0
  (0, 1083)	1.0
  (0, 1144)	1.0
  (0, 1170)	1.0
  (0, 1171)	1.0
  (0, 1175)	1.0
  (0, 1177)	1.0
  (0, 1208)	1.0
  (0, 1254)	1.0
  (0, 1259)	1.0
  (0, 1281)	1.0
  (0, 1301)	1.0"
1151,"  (0, 19)	1.0
  (0, 41)	1.0
  (0, 548)	1.0
  (0, 715)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 786)	1.0
  (0, 905)	1.0
  (0, 1104)	1.0
  (0, 1131)	1.0
  (0, 1171)	1.0
  (0, 1230)	1.0
  (0, 1263)	1.0
  (0, 1280)	1.0
  (0, 1328)	1.0
  (0, 1335)	1.0
  (0, 1418)	1.0"
1152,"  (0, 244)	1.0
  (0, 247)	1.0
  (0, 412)	1.0
  (0, 464)	1.0
  (0, 505)	1.0
  (0, 524)	1.0
  (0, 603)	1.0
  (0, 623)	1.0
  (0, 624)	1.0
  (0, 812)	1.0
  (0, 864)	1.0
  (0, 1012)	1.0
  (0, 1021)	1.0
  (0, 1143)	1.0
  (0, 1175)	1.0
  (0, 1211)	1.0
  (0, 1220)	1.0
  (0, 1247)	1.0
  (0, 1249)	1.0
  (0, 1267)	1.0
  (0, 1293)	1.0"
1153,"  (0, 244)	1.0
  (0, 287)	1.0
  (0, 471)	1.0
  (0, 623)	1.0
  (0, 624)	1.0
  (0, 724)	1.0
  (0, 812)	1.0
  (0, 829)	1.0
  (0, 864)	1.0
  (0, 993)	1.0
  (0, 1012)	1.0
  (0, 1021)	1.0
  (0, 1052)	1.0
  (0, 1143)	1.0
  (0, 1144)	1.0
  (0, 1209)	1.0
  (0, 1211)	1.0
  (0, 1328)	1.0
  (0, 1381)	1.0
  (0, 1423)	1.0"
1154,"  (0, 19)	1.0
  (0, 51)	1.0
  (0, 93)	1.0
  (0, 98)	1.0
  (0, 151)	1.0
  (0, 168)	1.0
  (0, 271)	1.0
  (0, 301)	1.0
  (0, 369)	1.0
  (0, 698)	1.0
  (0, 758)	1.0
  (0, 985)	1.0
  (0, 999)	1.0
  (0, 1234)	1.0
  (0, 1254)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1268)	1.0
  (0, 1285)	1.0
  (0, 1306)	1.0
  (0, 1348)	1.0
  (0, 1376)	1.0"
1155,"  (0, 19)	1.0
  (0, 118)	1.0
  (0, 121)	1.0
  (0, 232)	1.0
  (0, 310)	1.0
  (0, 395)	1.0
  (0, 402)	1.0
  (0, 464)	1.0
  (0, 510)	1.0
  (0, 548)	1.0
  (0, 637)	1.0
  (0, 700)	1.0
  (0, 774)	1.0
  (0, 775)	1.0
  (0, 894)	1.0
  (0, 1210)	1.0
  (0, 1224)	1.0
  (0, 1227)	1.0
  (0, 1236)	1.0
  (0, 1242)	1.0
  (0, 1332)	1.0"
1156,"  (0, 38)	1.0
  (0, 61)	1.0
  (0, 140)	1.0
  (0, 283)	1.0
  (0, 395)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 600)	1.0
  (0, 675)	1.0
  (0, 697)	1.0
  (0, 911)	1.0
  (0, 1003)	1.0
  (0, 1116)	1.0
  (0, 1149)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1274)	1.0
  (0, 1325)	1.0
  (0, 1332)	1.0
  (0, 1351)	1.0"
1157,"  (0, 41)	1.0
  (0, 63)	1.0
  (0, 234)	1.0
  (0, 262)	1.0
  (0, 303)	1.0
  (0, 462)	1.0
  (0, 495)	1.0
  (0, 514)	1.0
  (0, 806)	1.0
  (0, 808)	1.0
  (0, 1016)	1.0
  (0, 1072)	1.0
  (0, 1093)	1.0
  (0, 1132)	1.0
  (0, 1157)	1.0
  (0, 1174)	1.0
  (0, 1177)	1.0
  (0, 1206)	1.0
  (0, 1240)	1.0
  (0, 1261)	1.0
  (0, 1284)	1.0"
1158,"  (0, 19)	1.0
  (0, 132)	1.0
  (0, 203)	1.0
  (0, 336)	1.0
  (0, 403)	1.0
  (0, 461)	1.0
  (0, 558)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 838)	1.0
  (0, 931)	1.0
  (0, 1158)	1.0
  (0, 1189)	1.0
  (0, 1213)	1.0
  (0, 1263)	1.0
  (0, 1290)	1.0
  (0, 1330)	1.0
  (0, 1389)	1.0
  (0, 1429)	1.0"
1159,"  (0, 1)	1.0
  (0, 99)	1.0
  (0, 118)	1.0
  (0, 407)	1.0
  (0, 423)	1.0
  (0, 507)	1.0
  (0, 548)	1.0
  (0, 550)	1.0
  (0, 698)	1.0
  (0, 911)	1.0
  (0, 1052)	1.0
  (0, 1060)	1.0
  (0, 1063)	1.0
  (0, 1079)	1.0
  (0, 1209)	1.0
  (0, 1389)	1.0"
1160,"  (0, 41)	1.0
  (0, 136)	1.0
  (0, 208)	1.0
  (0, 292)	1.0
  (0, 322)	1.0
  (0, 507)	1.0
  (0, 576)	1.0
  (0, 581)	1.0
  (0, 621)	1.0
  (0, 635)	1.0
  (0, 673)	1.0
  (0, 763)	1.0
  (0, 778)	1.0
  (0, 808)	1.0
  (0, 1047)	1.0
  (0, 1132)	1.0
  (0, 1209)	1.0
  (0, 1230)	1.0
  (0, 1255)	1.0
  (0, 1263)	1.0
  (0, 1334)	1.0"
1161,"  (0, 39)	1.0
  (0, 93)	1.0
  (0, 190)	1.0
  (0, 205)	1.0
  (0, 378)	1.0
  (0, 425)	1.0
  (0, 473)	1.0
  (0, 507)	1.0
  (0, 523)	1.0
  (0, 711)	1.0
  (0, 874)	1.0
  (0, 944)	1.0
  (0, 994)	1.0
  (0, 1072)	1.0
  (0, 1131)	1.0
  (0, 1140)	1.0
  (0, 1191)	1.0
  (0, 1263)	1.0
  (0, 1360)	1.0"
1162,"  (0, 99)	1.0
  (0, 192)	1.0
  (0, 348)	1.0
  (0, 381)	1.0
  (0, 514)	1.0
  (0, 636)	1.0
  (0, 698)	1.0
  (0, 702)	1.0
  (0, 812)	1.0
  (0, 854)	1.0
  (0, 888)	1.0
  (0, 931)	1.0
  (0, 978)	1.0
  (0, 1060)	1.0
  (0, 1071)	1.0
  (0, 1177)	1.0
  (0, 1206)	1.0
  (0, 1346)	1.0
  (0, 1348)	1.0"
1163,"  (0, 47)	1.0
  (0, 56)	1.0
  (0, 92)	1.0
  (0, 245)	1.0
  (0, 489)	1.0
  (0, 507)	1.0
  (0, 541)	1.0
  (0, 698)	1.0
  (0, 724)	1.0
  (0, 810)	1.0
  (0, 828)	1.0
  (0, 965)	1.0
  (0, 1019)	1.0
  (0, 1034)	1.0
  (0, 1198)	1.0
  (0, 1210)	1.0
  (0, 1211)	1.0
  (0, 1263)	1.0"
1164,"  (0, 57)	1.0
  (0, 431)	1.0
  (0, 534)	1.0
  (0, 640)	1.0
  (0, 662)	1.0
  (0, 726)	1.0
  (0, 772)	1.0
  (0, 945)	1.0
  (0, 1075)	1.0
  (0, 1096)	1.0
  (0, 1120)	1.0
  (0, 1250)	1.0
  (0, 1266)	1.0
  (0, 1267)	1.0
  (0, 1274)	1.0
  (0, 1305)	1.0
  (0, 1328)	1.0
  (0, 1357)	1.0"
1165,"  (0, 3)	1.0
  (0, 132)	1.0
  (0, 173)	1.0
  (0, 246)	1.0
  (0, 284)	1.0
  (0, 465)	1.0
  (0, 502)	1.0
  (0, 533)	1.0
  (0, 618)	1.0
  (0, 758)	1.0
  (0, 1013)	1.0
  (0, 1016)	1.0
  (0, 1052)	1.0
  (0, 1120)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1249)	1.0
  (0, 1305)	1.0
  (0, 1424)	1.0"
1166,"  (0, 27)	1.0
  (0, 98)	1.0
  (0, 378)	1.0
  (0, 413)	1.0
  (0, 417)	1.0
  (0, 497)	1.0
  (0, 578)	1.0
  (0, 619)	1.0
  (0, 673)	1.0
  (0, 701)	1.0
  (0, 729)	1.0
  (0, 860)	1.0
  (0, 943)	1.0
  (0, 1056)	1.0
  (0, 1123)	1.0
  (0, 1155)	1.0
  (0, 1170)	1.0
  (0, 1198)	1.0
  (0, 1246)	1.0
  (0, 1301)	1.0
  (0, 1379)	1.0
  (0, 1387)	1.0
  (0, 1392)	1.0"
1167,"  (0, 27)	1.0
  (0, 330)	1.0
  (0, 378)	1.0
  (0, 417)	1.0
  (0, 455)	1.0
  (0, 497)	1.0
  (0, 578)	1.0
  (0, 673)	1.0
  (0, 701)	1.0
  (0, 943)	1.0
  (0, 1049)	1.0
  (0, 1056)	1.0
  (0, 1123)	1.0
  (0, 1155)	1.0
  (0, 1170)	1.0
  (0, 1198)	1.0
  (0, 1246)	1.0
  (0, 1301)	1.0
  (0, 1379)	1.0
  (0, 1387)	1.0
  (0, 1392)	1.0"
1168,"  (0, 26)	1.0
  (0, 130)	1.0
  (0, 188)	1.0
  (0, 353)	1.0
  (0, 562)	1.0
  (0, 619)	1.0
  (0, 666)	1.0
  (0, 972)	1.0
  (0, 1049)	1.0
  (0, 1075)	1.0
  (0, 1149)	1.0
  (0, 1171)	1.0
  (0, 1219)	1.0
  (0, 1301)	1.0
  (0, 1358)	1.0
  (0, 1379)	1.0
  (0, 1392)	1.0"
1169,"  (0, 26)	1.0
  (0, 398)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 540)	1.0
  (0, 615)	1.0
  (0, 625)	1.0
  (0, 715)	1.0
  (0, 763)	1.0
  (0, 764)	1.0
  (0, 779)	1.0
  (0, 814)	1.0
  (0, 860)	1.0
  (0, 923)	1.0
  (0, 1075)	1.0
  (0, 1131)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1203)	1.0
  (0, 1229)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1353)	1.0
  (0, 1418)	1.0"
1170,"  (0, 45)	1.0
  (0, 76)	1.0
  (0, 132)	1.0
  (0, 157)	1.0
  (0, 213)	1.0
  (0, 228)	1.0
  (0, 330)	1.0
  (0, 353)	1.0
  (0, 446)	1.0
  (0, 469)	1.0
  (0, 497)	1.0
  (0, 562)	1.0
  (0, 578)	1.0
  (0, 612)	1.0
  (0, 666)	1.0
  (0, 763)	1.0
  (0, 882)	1.0
  (0, 1123)	1.0
  (0, 1155)	1.0
  (0, 1177)	1.0
  (0, 1219)	1.0
  (0, 1257)	1.0
  (0, 1305)	1.0"
1171,"  (0, 211)	1.0
  (0, 397)	1.0
  (0, 510)	1.0
  (0, 559)	1.0
  (0, 723)	1.0
  (0, 758)	1.0
  (0, 781)	1.0
  (0, 808)	1.0
  (0, 810)	1.0
  (0, 856)	1.0
  (0, 897)	1.0
  (0, 911)	1.0
  (0, 918)	1.0
  (0, 979)	1.0
  (0, 1075)	1.0
  (0, 1076)	1.0
  (0, 1097)	1.0
  (0, 1179)	1.0
  (0, 1198)	1.0
  (0, 1259)	1.0"
1172,"  (0, 97)	1.0
  (0, 99)	1.0
  (0, 118)	1.0
  (0, 132)	1.0
  (0, 140)	1.0
  (0, 357)	1.0
  (0, 368)	1.0
  (0, 376)	1.0
  (0, 446)	1.0
  (0, 455)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 602)	1.0
  (0, 743)	1.0
  (0, 777)	1.0
  (0, 875)	1.0
  (0, 1151)	1.0
  (0, 1175)	1.0
  (0, 1209)	1.0
  (0, 1224)	1.0
  (0, 1249)	1.0
  (0, 1259)	1.0
  (0, 1262)	1.0
  (0, 1352)	1.0
  (0, 1389)	1.0"
1173,"  (0, 140)	1.0
  (0, 988)	1.0
  (0, 1149)	1.0
  (0, 1207)	1.0
  (0, 1424)	1.0"
1174,"  (0, 99)	1.0
  (0, 470)	1.0
  (0, 472)	1.0
  (0, 481)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 734)	1.0
  (0, 743)	1.0
  (0, 857)	1.0
  (0, 931)	1.0
  (0, 937)	1.0
  (0, 1033)	1.0
  (0, 1049)	1.0
  (0, 1078)	1.0
  (0, 1131)	1.0
  (0, 1151)	1.0
  (0, 1164)	1.0
  (0, 1177)	1.0
  (0, 1301)	1.0"
1175,"  (0, 158)	1.0
  (0, 159)	1.0
  (0, 203)	1.0
  (0, 417)	1.0
  (0, 464)	1.0
  (0, 495)	1.0
  (0, 548)	1.0
  (0, 652)	1.0
  (0, 724)	1.0
  (0, 725)	1.0
  (0, 735)	1.0
  (0, 882)	1.0
  (0, 889)	1.0
  (0, 913)	1.0
  (0, 937)	1.0
  (0, 1096)	1.0
  (0, 1118)	1.0
  (0, 1132)	1.0
  (0, 1151)	1.0
  (0, 1301)	1.0
  (0, 1313)	1.0"
1176,"  (0, 41)	1.0
  (0, 104)	1.0
  (0, 208)	1.0
  (0, 377)	1.0
  (0, 615)	1.0
  (0, 749)	1.0
  (0, 754)	1.0
  (0, 763)	1.0
  (0, 986)	1.0
  (0, 995)	1.0
  (0, 1015)	1.0
  (0, 1114)	1.0
  (0, 1118)	1.0
  (0, 1125)	1.0
  (0, 1177)	1.0
  (0, 1203)	1.0
  (0, 1230)	1.0
  (0, 1263)	1.0
  (0, 1360)	1.0
  (0, 1373)	1.0
  (0, 1381)	1.0
  (0, 1431)	1.0"
1177,"  (0, 25)	1.0
  (0, 132)	1.0
  (0, 205)	1.0
  (0, 647)	1.0
  (0, 724)	1.0
  (0, 725)	1.0
  (0, 764)	1.0
  (0, 786)	1.0
  (0, 860)	1.0
  (0, 874)	1.0
  (0, 974)	1.0
  (0, 1096)	1.0
  (0, 1140)	1.0
  (0, 1198)	1.0
  (0, 1249)	1.0
  (0, 1296)	1.0
  (0, 1298)	1.0
  (0, 1336)	1.0"
1178,"  (0, 39)	1.0
  (0, 625)	1.0
  (0, 646)	1.0
  (0, 1147)	1.0
  (0, 1151)	1.0
  (0, 1299)	1.0
  (0, 1387)	1.0"
1179,"  (0, 125)	1.0
  (0, 135)	1.0
  (0, 395)	1.0
  (0, 533)	1.0
  (0, 647)	1.0
  (0, 842)	1.0"
1180,"  (0, 54)	1.0
  (0, 336)	1.0
  (0, 398)	1.0
  (0, 413)	1.0
  (0, 979)	1.0
  (0, 1066)	1.0
  (0, 1118)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1203)	1.0
  (0, 1263)	1.0
  (0, 1274)	1.0
  (0, 1292)	1.0
  (0, 1301)	1.0
  (0, 1303)	1.0
  (0, 1352)	1.0
  (0, 1379)	1.0
  (0, 1429)	1.0"
1181,"  (0, 89)	1.0
  (0, 158)	1.0
